code,pays,groupe,pib_hab_1990,croissance_1990_2025
PRT,Portugal,OCDE : rattrapage interne,27191,1.29
ESP,Espagne,OCDE : rattrapage interne,31773,1.26
GBR,Royaume-Uni,OCDE : rattrapage interne,33531,1.37
JPN,Japon,OCDE : rattrapage interne,36138,0.83
FRA,France,OCDE : rattrapage interne,38656,1.02
DEU,Allemagne,OCDE : rattrapage interne,42355,1.13
ITA,Italie,OCDE : rattrapage interne,42657,0.65
USA,États-Unis,OCDE : rattrapage interne,44384,1.58
CHN,Chine,Convergents asiatiques,1667,8.05
IDN,Indonésie,Convergents asiatiques,4873,3.28
THA,Thaïlande,Convergents asiatiques,8703,2.74
MYS,Malaisie,Convergents asiatiques,12014,3.14
KOR,Corée du Sud,Convergents asiatiques,14378,3.95
NER,Niger,"Non-convergents (Afrique subsah., Am. latine)",1420,0.77
CAF,Rép. centrafricaine,"Non-convergents (Afrique subsah., Am. latine)",1481,-0.79
MDG,Madagascar,"Non-convergents (Afrique subsah., Am. latine)",1968,-0.47
COD,RD Congo,"Non-convergents (Afrique subsah., Am. latine)",2404,-1.09
MEX,Mexique,"Non-convergents (Afrique subsah., Am. latine)",17170,0.70
